회차,scene,종류,인물,지문/대사
1,1,scene title,,꺼져가는 가로등
1,1,지문,,"밤 10시, 퇴근하는 인파 속에서 박민철(45)은 어깨를 쭈그린 채 걷고 있다. 그의 손에 들린 낡은 가방은 그의 지친 삶을 단적으로 보여준다."
1,1,지문,,"스쳐 지나가는 버스 창문에 비친 모습은 피곤에 절어있지만, 어딘가 날카로운 이목구비를 감추지 못한다. 희미한 순간, 그의 얼굴 위로 머리 위에 치켜든 총을 든 과거의 모습이 겹쳐지며 사라진다."
1,2,scene title,,낡은 사진첩
1,2,지문,,"박민철은 거실 소파에 앉아 낡은 사진첩을 넘기고 있다. 사진 속에는 어린 딸 소라를 안고 활짝 웃는, 젊고 힘있던 자신의 모습이 있다."
1,2,대사,박민철(나레이션),"나는 한때 이름도, 얼굴도 없었다. 국가라는 어두운 밤의 희생자였을 뿐이다."
1,2,지문,,현관문이 열리고 딸 소라가 무표정하게 자기 방으로 들어가 스마트폰만 본다. 아버지와 눈도 마주치지 않으려는 딸의 모습에 그의 얼굴열 죄책감이 어린다.
1,2,대사,박민철(나레이션),하지만 더 이상 나 혼자만의 희생으로 끝낼 수 없었다. 내 딸이 그 길에被人 밀려넣어지는 걸 바라볼 순 없었다.
1,3,scene title,,저녁 식탁
1,3,지문,,"식탁 위에는 박민철이 장 봐왔다는 반찬들이 놓여있지만, 소라는 휴대폰만 만지작거리며 식사에的兴趣가 없다. 정적만이 흐르는 식탁은 부녀 사이의 거리를 보여준다."
1,3,대사,소라,"아빠, 이번에 용돕 좀... 친구들하고 여행 가야 해서."
1,3,대사,박민철,용돈은 아끼라고 했지. 어디 가기 전에 성적부터 올려.
1,3,지문,,반 팬티 차림의 아이들이 땀 흘리며 호흡을 가다듬고 있다. 한쪽에서 턱을 괴고 앉아있는 최범도(48)가 박민철을 보며 씁쓸하게 웃는다.
1,3,대사,최범도,"자네도 한때는 그랬지. 목적 없이 그냥, 움직이고 또 움직이고."
1,3,대사,박민철,나는 나름대로의 지킬 게 생겼어. 자네처럼 힘만 가르치는 꼴은 보고싶지 않네.
1,3,scene title,,국정원 지하 주차장
1,3,지문,,국정원 김 이사관(50대 후반)은 주차 구석에 박민철의 낡은 국내차를 보며 무심코 미간을 찌푸린다. 박민철이 점잔을 빼지 못한다는 것을 아는 유일한 사람이다.
1,3,대사,김 이사관(혼잣말),설마 이 글러먹은 시국에 더 움직이진 않겠지.
1,4,scene title,,흔들리는 카메라 영상
1,4,지문,,박민철은 SNS를 통해 올라온 한 동영상 클립을 보고 얼어붙는다. 화면 속에서 딸 소라가 강태우 등 일진들에게 둘러싸여 폭행을 당하고 있다.
1,4,대사,폭행자(영상 속 목소리),"얘, 아빠가 사장이라서 다 준대? 얄밉게 살지 말지, 일단 반성부터 좀 해봐."
1,4,지문,,"영상을 보고 황급히 집으로 달려간 박민철. 딸의 방은 텅 비어있고, 침대 위에는 피 얼룩이 묻은 스카프가 놓여있다. 그는 창백해진 얼굴로 딸의 휴대폰을 붙잡는다."
1,4,지문,,수많은 차단 번호와 함께 '조심해'라는 세 글자만이 마지막으로 보내진 메시지였다. 이는 단순한 가출이 아님을 암시하는 절박한 신호였다.
1,5,scene title,,어두운 서재
1,5,지문,,"박민철은 서재 바닥을 열어 비밀 공간을 꺼낸다. 먼지 쌓인 금속 상자 안에는 분해된 권총과 여권, 그리고 사용하지 않은 통신 장비가 들어있다."
1,5,대사,박민철,"(혼잣말) 소라를 살려야 해... 내 손으로... 하지만 이걸 쓰는 순간, 나와 소라 모두 돌아갈 수 없어."
1,5,지문,,"경찰은 아직 시간이 필요하다며 형식적인 말만 반복한다. 박민철은 그들의 무력감을 보며 절망하지만, 동시에 누군가 직접 움직여야 한다는 확신이 든다."
1,5,대사,형사,"아버님, 저희도 최선을 다하고 있습니다. 섣부른 개인 행동은 오히려 피해자에게 불리할 수 있습니다."
1,6,scene title,,쓰레기통
1,6,지문,,"회사 로고가 찍힌 명함, ID 카드, 낡은 서류 가방을 하나씩 공원 쓰레기통에 던져 넣는다. 편안하고 평범했던 '박민철'이라는 삶을 스스로 버리는 의식이다."
1,6,대사,박민철,"(나지막이) 딸, 이제 아빠가 진짜 아빠로 해줄게."
1,6,지문,,시외 열차에서 내려 도착한 낡은 창고. 박민철은 윤활유를 묻혀 부품을 조립하며 기계적인 움직임으로 권총을 완성시킨다. 그의 눈빛은 이제 아버지가 아닌 '요원'의 그것이다.
1,6,지문,,조립한 옛 동료에게만 지급되는 암호화된 안드로이드 폰을 켠다. 화면에는 오직 하나의 단추만이 빛나고 있다.
1,7,scene title,,해킹 시도
1,7,지문,,박민철은 익명의 프록시 서버를 통해 학교 폭력 가해자들과 연결된 SNS 계정을 해킹하려 한다. 하지만 먼저 국정원의 역추적 방화벽이 그의 IP를 차단하며 좌절한다.
1,7,대사,김 이사관(통신망 상),"(기계음) 민철, 여기는 김이다. 즉시 멈춰. 넌 말하기 전에 이미 늦어."
1,7,지문,,"가담자 한 명의 행방을 알아내 그를 압박하지만, 그는 이미 조직에게 모든 것을 보고한 상태였다. 박민철이 접근하는 순간 조직의 보안팀이 그를 포위한다."
1,7,대사,가담자,"거기까지입니다, 선생. 아, 아니... 요원님. 목숨이 아까우면 물러나시죠."
1,8,scene title,,요란한 불빛 아래
1,8,지문,,"요란한 음악과 시끄러운 인파 속, 박민철은 슈트 차림으로 나이트클럽에 들어선다. 그는 조직 간부의 신발에 부착된 위치 추적기를 확인하고 화장실로 향한다."
1,8,지문,,"조직 간부가 옆방에 들어선 순간, 박민철이 그의 등 뒤에 나타난다. 시간은 겨우 1분. 거울에 비친 서로의 눈이 마주칠 때, 비명과 함께 살벌한 액션이 시작된다."
1,8,지문,,"세면대로, 변기 뚜껑으로, 파이프로. 좁은 공간의 모든 것이 무기가 되고, 몇 번의 정확한 움직임만으로 상대는 무력화된다. 그는 간부의 입에서 정보를 캐낸 뒤 문을 나선다."
1,9,scene title,,라면 끓이는 밤
1,9,지문,,최범도는 다가온 박민철의 모습을 보고 아무 말 없이 라면 하나를 더 꺼내 끓인다. 흐드러지지 않은 태권도 도장의 밤은 고요하다.
1,9,대사,최범도,"옛날에도 그런 아이가 있었어. 워낙 착하니, 다들 괴롭히는 걸 보고도 묵묵히 지켜보기만 했지."
1,9,대사,최범도,"결국 그 아이는... 다리 망가져 평생을 절었다네. 내가 착하길 바란다고, 외면한다고 세상이 불의를 멈춰주지 않더군. 넌 그냥 보지 마. 끝내야 해."
1,9,지문,,최범도의 눈빛엔 깊은 후회가 서려 있다. 박민철은 찍찍 끓는 라면을 보며 남은 고뇌를 접고 결심을 굳힌다.
1,10,scene title,,고급 주유소
1,10,지문,,박민철과 최범도는 강태우의 행적을 쫓아 고급 주유소에 도착한다. 그는 거액의 돈을 지불하고 육성품으로 포장된 비싸다는 차를 몰고 나온다.
1,10,대사,박민철,정체불명이군. 이런 걸로 무장을 해? 이건 폭력배급이 아니야.
1,10,지문,,최범도는 주유소의 문양을 보며 충격받는다. 그는 급히 동료에게 연락해 확인하고 전화를 내팽개친다. 얼굴이 새하얗게 질린 그의 말에 박민철의 표정이 굳는다.
1,10,대사,최범도,"이건... 송도파의 문양이야. 강태우가, 강철민의 아들이야. 완전히 잘못 건드렸어."
1,11,scene title,,뉴스 속의 얼굴
1,11,지문,,"텔레비전 뉴스에서 '연쇄 폭행 mimeograph 용의자, 박민철'이라는 자막과 함께 흐릿한 CCTV 화면이 나온다. 송도파는 언론을 동원해 그를 사회악으로 만든다."
1,11,대사,아나운서(목소리),경찰은 해당 용의자가 최근 송도그룹 관려 인물들을 협박하고 폭행한 것으로 보고 있습니다.
1,11,지문,,최범도의 휴대폰으로 사진 한 장이 전송온다. 초등학생으로 보이는 자신의 아들이 학교 앞에서 수상한 남자들에게 둘러싸여 있는 모습이다.
1,11,대사,알 수 없는 번호(문자),"좋은 아버지셨으면 좋겠습니다, 최 관장님. 아버지들에게는 아버지 밖에 안 이해가니까요."
1,12,scene title,,버려진 공장
1,12,지문,,디지털로 조작된 정보를 믿고 공장에 잠입한 박민철과 최범도. 그러나 그곳은 폭력조직이 매복한 함정이었다. 쏟아지는 총알 속에서 그들은 거짓말을 깨닫는다.
1,12,대사,박민철,함정이야! 빠져나가!
1,12,지문,,"탈출하는 과정에서 최범도가 박민철을 밀쳐내며 대신 총에 맞는다. 박민철은 그를 업고 달리지만, 피를 흘리는 최범도는 의식이 흐려져간다."
1,12,대사,최범도,미안... 민철아... 나 혼자... 여기 있을게...
1,13,scene title,,어둠 속의 창고
1,13,지문,,박민철은 송도파의 지리를 이용해 그들의 소굴인 창고 지하에 숨어든다. 그러나 그곳은 구할 수 있는 희망이 없는 완벽한 감옥이었다.
1,13,대사,박민철(절망적으로),어떡하지... 소라... 어떡해야 하지...
1,13,scene title,,죽음의 그림자
1,13,지문,,"어두운 공간에 떨어진 그의 휴대폰 화면에는 사진 한 장이 떠있다. 딸과 함께 찍던 행복한 사진, 그리고 아까 받은 경고 메시지. 그는 모든 것을 포기한 채 주저앉는다."
1,14,scene title,,희미한 울림
1,14,지문,,"절망 속에서 휴대폰이 진동한다. 딸이 예전에 어플을 숨겨 설치해 뒀던 비상 통화. 아주 희미하게, 조직원들의 대화가 들려온다."
1,14,대사,조직원(통화),"보스가 계획 변경했어. 망가진 걸 어차피 버릴 거니까, 보험금 타먹을 겸 처리해."
1,14,지문,,박민철의 눈이 번뜩인다. 그는 최범도와의 전화 통화를 떠옌다. 그는 더 이상 단순한 아버지가 아니다. 불의를 뿌리 뽑겠다고 선언하는 전사로 변신한다.
1,14,대사,박민철,너희가 지켜보기만 해서... 내 아이가 다쳤다. 더는 아무도 지켜보지 않게 만들겠다.
1,15,scene title,,제3의 길
1,15,지문,,박민철은 폭력으로 맞서지 않는다. 그는 조직의 시스템을 역이용한다. 그는 해킹해 조직의 자금 흐름과 정계 인사들의 비리 정보를 폭로할 계획을 세운다.
1,15,대사,박민철,"너희의 돈, 너희의 권력... 너희의 심장이지. 난 그걸 멈출 뿐이다."
1,15,지문,,"국정원의 김 이사관에게 정보의 일부를 유출한다. 개인적인 응징이 아닌, 시스템에 의한 심판을 시작하겠다는 신호였다. 이제 이것은 박민철 혼자의 싸움이 아니게 되었다."
1,16,scene title,,밝은 햇살 아래
1,16,지문,,"한적한 공원. 박민철은 더 이상 딱딱한 수트가 아닌 편안한 차림으로 소파에 앉아있다. 옆에는 회복한 딸 소라가, 그리고 그의 옆에는 지팡이를 짚은 최범도가 앉아있다."
1,16,대사,소라,아빠... 이제 괜찮아?
1,16,지문,,"박민철은 대답 대신 미소를 짓고 손을 내민다. 소라는 그 손을 꼭 잡고, 최범도는 훈훈하게 웃는다. 그는 과거와 싸워 동료도 잃었지만, 딸이라는 세상을 되찾았다."
1,16,대사,박민철(나레이션),나는 여전히 희생자다. 하지만 이제는 내가 지키는 세상이 있는 희생자일 뿐이다.
